id,label,Region,Latitude,Longitude,Number of attacks,Lethality,Group Presence,Mean year of Attacks,Pondered Mean Year,Pondered Importance of the Country
Colombia,Colombia,South America,4.570868,-74.297333,5932,43755,24,1994.6817262306135,1993.844543480745,0
Peru,Peru,South America,-9.189967,-75.015152,5122,40305,10,1987.5132760640374,1987.4374643344497,0
Nicaragua,Nicaragua,Central America & Caribbean,12.865416,-85.207229,1613,31924,11,1984.0892746435213,1983.9822077433905,0
El Salvador,El Salvador,Central America & Caribbean,13.794185,-88.89653,3596,29295,8,1985.7135706340378,1984.6238948626044,0
United Kingdom,United Kingdom,Western Europe,55.378051,-3.435973,3657,12769,14,1983.1654361498497,1982.0288981126164,0
Spain,Spain,Western Europe,40.463667,-3.74922,2205,5173,6,1986.401814058957,1986.7701527160254,0
Guatemala,Guatemala,Central America & Caribbean,15.783471,-90.230759,506,4351,12,1985.2806324110672,1983.17903930131,0
United States,United States,North America,37.09024,-95.712891,190,3831,9,1991.921052631579,2001.406421299922,0
Chad,Chad,Sub-Saharan Africa,15.454166,18.732207,4,1490,3,2010.0,2008.0,0
Italy,Italy,Western Europe,41.87194,12.56738,296,1113,9,1980.412162162162,1979.5372866127584,0
France,France,Western Europe,46.227638,2.213749,122,1004,11,1989.8524590163934,2008.5388446215138,0
Argentina,Argentina,South America,-38.416097,-63.616672,128,771,6,1976.34375,1975.763942931258,0
Chile,Chile,South America,-35.675147,-71.542969,832,583,4,1987.1165865384614,1986.763293310463,0
Germany,Germany,Western Europe,51.165691,10.451526,199,531,6,1995.3869346733668,2001.297551789077,0
Algeria,Algeria,Middle East & North Africa,28.033886,1.659626,27,407,2,2006.7777777777778,2003.5356265356265,0
Mexico,Mexico,North America,23.634501,-102.552784,24,388,6,1995.625,1997.1932989690722,0
Ireland,Ireland,Western Europe,53.41291,-8.24389,119,317,6,1985.8319327731092,1979.4921135646687,0
Norway,Norway,Western Europe,60.472024,8.468946,5,309,3,2006.8,2010.9029126213593,0
Venezuela,Venezuela,South America,6.42375,-66.58973,55,299,8,1993.090909090909,1992.3076923076924,0
Honduras,Honduras,Central America & Caribbean,15.199999,-86.241905,37,282,9,1987.027027027027,1986.8262411347516,0
Brazil,Brazil,South America,-14.235004,-51.92528,30,254,10,1984.5,1985.3070866141732,0
Russia,Russia,Eastern Europe,61.52401,105.318756,21,210,6,2005.8095238095239,2002.0761904761907,0
Turkey,Turkey,Middle East & North Africa,38.963745,35.243322,29,209,4,1980.8275862068965,1982.358851674641,0
Democratic Republic of the Congo,Democratic Republic of the Congo,Sub-Saharan Africa,-4.038333,21.758664,4,204,1,2009.0,2003.9411764705883,0
Iraq,Iraq,Middle East & North Africa,33.223191,43.679291,57,199,1,2010.877192982456,2011.0,0
India,India,South Asia,20.593684,78.96288,12,192,3,2002.1666666666667,2001.8802083333333,0
South Africa,South Africa,Sub-Saharan Africa,-30.559482,22.937506,18,191,3,1992.6666666666667,1994.4397905759163,0
Guinea,Guinea,Sub-Saharan Africa,9.945587,-9.696645,5,183,1,2000.0,2000.0,0
Pakistan,Pakistan,South Asia,30.375321,69.345116,40,177,1,2005.525,2003.6723163841807,0
Sierra Leone,Sierra Leone,Sub-Saharan Africa,8.460555,-11.779889,3,145,1,1996.0,1995.0344827586207,0
Sudan,Sudan,Sub-Saharan Africa,12.862807,30.217636,7,98,3,2001.2857142857142,2000.2551020408162,0
Canada,Canada,North America,56.130366,-106.346771,18,82,7,2001.5,2013.280487804878,0
Philippines,Philippines,Southeast Asia,12.879721,121.774017,12,82,5,1995.9166666666667,1990.9878048780488,0
Greece,Greece,Western Europe,39.074208,21.824312,6,81,4,1978.3333333333333,1974.0246913580245,0
Syria,Syria,Middle East & North Africa,34.802075,38.996815,4,80,1,2011.0,2011.0,0
Indonesia,Indonesia,Southeast Asia,0.789275,113.921327,9,75,2,2004.2222222222222,2002.68,0
Angola,Angola,Sub-Saharan Africa,-11.202692,17.873887,2,73,2,1993.0,2000.3424657534244,0
Lebanon,Lebanon,Middle East & North Africa,33.854721,35.862285,37,59,5,1980.8108108108108,1983.7288135593221,0
Nepal,Nepal,South Asia,28.394857,84.124008,3,55,2,1996.6666666666667,1992.0,0
Israel,Israel,Middle East & North Africa,31.046051,34.851612,17,46,2,1975.5882352941176,1976.4130434782608,0
Switzerland,Switzerland,Western Europe,46.818188,8.227512,20,43,3,1978.65,1980.1627906976744,0
Afghanistan,Afghanistan,South Asia,33.93911,67.709953,9,40,1,2011.0,2011.0,0
Sri Lanka,Sri Lanka,South Asia,7.873054,80.771797,3,39,2,1992.0,1995.076923076923,0
Austria,Austria,Western Europe,47.516231,14.550072,24,38,4,1987.5,1988.1842105263156,0
Australia,Australia,Australasia & Oceania,-25.274398,133.775136,12,37,3,1995.6666666666667,2015.1891891891894,0
Sweden,Sweden,Western Europe,60.128161,18.643501,7,33,2,2006.0,2014.6060606060607,0
Ecuador,Ecuador,South America,-1.831239,-78.183406,7,29,4,1994.7142857142858,1988.8620689655172,0
West Bank and Gaza Strip,West Bank and Gaza Strip,Middle East & North Africa,31.4379662528942,34.3827884511328,6,25,1,2003.1666666666667,2002.6000000000001,0
Belgium,Belgium,Western Europe,50.503887,4.469936,12,25,6,1983.75,1984.64,0
Netherlands,Netherlands,Western Europe,52.132633,5.291266,11,24,6,1989.909090909091,1986.25,0
Zimbabwe,Zimbabwe,Sub-Saharan Africa,-19.015438,29.154857,4,22,3,1989.25,1982.5,0
Denmark,Denmark,Western Europe,56.26392,9.501785,8,22,3,1993.5,2007.3636363636365,0
Iran,Iran,Middle East & North Africa,32.427908,53.688046,13,21,2,1982.2307692307693,1981.7142857142856,0
Nigeria,Nigeria,Sub-Saharan Africa,9.081999,8.675277,2,21,1,2006.5,2009.7142857142856,0
Burundi,Burundi,Sub-Saharan Africa,-3.373056,29.918886,2,20,1,2001.5,2001.25,0
Guyana,Guyana,South America,4.860416,-58.93018,1,18,1,2002.0,2002.0,0
Uganda,Uganda,Sub-Saharan Africa,1.373333,32.290275,5,18,2,1996.2,1997.4444444444443,0
Costa Rica,Costa Rica,Central America & Caribbean,9.748917,-83.753428,6,16,3,1982.6666666666667,1983.875,0
Laos,Laos,Southeast Asia,19.85627,102.495496,1,16,1,1996.0,1996.0,0
Kosovo,Kosovo,Eastern Europe,42.602636,20.902977,4,16,1,2000.0,2000.0,0
Cambodia,Cambodia,Southeast Asia,12.565679,104.990963,5,16,2,1995.8,2001.8125,0
Finland,Finland,Western Europe,61.92411,25.748151,1,15,1,2017.0,2017.0,0
Jamaica,Jamaica,Central America & Caribbean,18.109581,-77.297508,3,13,2,1982.0,1984.1538461538462,0
Panama,Panama,Central America & Caribbean,8.537981,-80.782127,7,12,3,1999.5714285714287,1999.5,0
Somalia,Somalia,Sub-Saharan Africa,5.152149,46.199616,4,12,1,2008.75,2011.0,0
Haiti,Haiti,Central America & Caribbean,18.971187,-72.285215,3,11,1,1998.0,1998.0909090909092,0
Tajikistan,Tajikistan,Central Asia,38.861034,71.276093,5,10,2,2010.2,2009.9,0
Bangladesh,Bangladesh,South Asia,23.684994,90.356331,3,10,1,2000.6666666666667,2001.4,0
Thailand,Thailand,Southeast Asia,15.870032,100.992541,3,9,3,1992.3333333333333,2005.3333333333333,0
Bosnia-Herzegovina,Bosnia-Herzegovina,Eastern Europe,43.915886,17.679076,6,8,2,1999.1666666666667,1999.625,0
Czech Republic,Czech Republic,Eastern Europe,49.817492,15.472962,3,7,1,2002.6666666666667,1998.8571428571427,0
Kazakhstan,Kazakhstan,Central Asia,48.019573,66.923684,1,6,1,2011.0,2011.0,0
Slovak Republic,Slovak Republic,Eastern Europe,48.669026,19.699024,3,5,2,2001.6666666666667,1999.2,0
Bolivia,Bolivia,South America,-16.290154,-63.588653,13,5,5,1984.3076923076924,1982.8000000000002,0
Mozambique,Mozambique,Sub-Saharan Africa,-18.665695,35.529562,1,4,1,2000.0,2000.0,0
Cyprus,Cyprus,Western Europe,35.126413,33.429859,3,4,1,1973.0,1973.0,0
Poland,Poland,Eastern Europe,51.919438,19.145136,2,4,2,2001.0,2010.0,0
Portugal,Portugal,Western Europe,39.399872,-8.224454,4,4,4,1980.0,1985.0,0
Georgia,Georgia,Central Asia,42.315407,43.356892,2,4,1,2000.0,2000.0,0
Central African Republic,Central African Republic,Sub-Saharan Africa,6.611111,20.939444,1,3,1,2000.0,2000.0,0
Ukraine,Ukraine,Eastern Europe,48.379433,31.16558,1,3,1,2002.0,2002.0,0
Bulgaria,Bulgaria,Eastern Europe,42.733883,25.48583,1,3,1,1982.0,1982.0,0
Egypt,Egypt,Middle East & North Africa,26.820553,30.802498,1,3,1,1971.0,1971.0,0
Japan,Japan,East Asia,36.204824,138.252924,1,2,1,1984.0,1984.0,0
Uruguay,Uruguay,South America,-32.522779,-55.765835,7,2,2,1975.142857142857,1994.0,0
Turkmenistan,Turkmenistan,Central Asia,38.969719,59.556278,1,1,1,2002.0,2002.0,0
Kuwait,Kuwait,Middle East & North Africa,29.31166,47.481766,2,1,2,1996.0,2016.0,0
Kyrgyzstan,Kyrgyzstan,Central Asia,41.20438,74.766098,1,1,1,2015.0,2015.0,0
Tanzania,Tanzania,Sub-Saharan Africa,-6.369028,34.888822,2,1,2,1991.0,1982.0,0
Hungary,Hungary,Eastern Europe,47.162494,19.503304,1,0,1,1991.0,,0
Brunei,Brunei,Southeast Asia,4.535277,114.727669,5,0,1,1972.0,,0
Jordan,Jordan,Middle East & North Africa,30.585164,36.238414,9,0,1,1971.7777777777778,,0
Yemen,Yemen,Middle East & North Africa,15.552727,48.516388,1,0,1,2011.0,,0
Malaysia,Malaysia,Southeast Asia,4.210484,101.975766,2,0,1,2016.5,,0
Fiji,Fiji,Australasia & Oceania,-16.578193,179.414413,2,0,1,2000.0,,0
Republic of the Congo,Republic of the Congo,Sub-Saharan Africa,0.228021,15.827659,1,0,1,1972.0,,0
